smiles,label_p53ts,label_cell
Nc1nc2c(s1)CCc1c-2cnn1-c1ccccc1,1,1
c1c2c(cc3sc(N4CCOCC4)nc13)OCCO2,1,1
CCC(=O)Nc1cccc(-c2nc3ccccc3c(=O)o2)c1,1,1
O=C(Nc1nnc(/N=C/c2ccco2)s1)c1ccc(F)cc1,1,1
Fc1cccc2sc(Nc3nnc(-c4ccccc4)o3)nc12,1,1
O=C(Nc1nc2ccccc2[nH]1)c1ccccc1F,1,1
c1c2c(cc3sc(N4CCCCC4)nc13)OCO2,1,1
COc1cccc(-c2cc(C(=O)Nc3cccc(O)c3)no2)c1,1,1
O=C(NC1=NCCS1)Nc1ccccc1,1,1
c1ccc2c(c1)CCN(c1nc3cc4c(cc3s1)OCCO4)C2,1,1
CC(=O)c1c(C)[nH]c(C(=O)Nc2ccc(C)cn2)c1C,1,1
c1cn2cc(-c3ccc4c(c3)OCO4)nc2s1,1,1
Cc1nc2c(ccc3nc(NC(=O)c4ccc5c(c4)OCCO5)sc32)s1,1,1
O=C(Nc1cccnc1)c1noc2c1CCCCC2,1,1
COC(=O)CNc1c(-c2ccccn2)nc2ccc(Br)cn12,1,1
Cn1ncnc2c(=O)n(C)c(=O)nc1-2,1,1
O=C(c1cc(-c2ccc3c(c2)OCO3)on1)N1CCOCC1,1,1
Cn1c(NC(=O)c2cc(-c3ccc4c(c3)OCO4)nc3ccccc23)cc(=O)n(C)c1=O,1,1
O=C(Nc1nc2ccccc2[nH]1)c1ccc(F)cc1,1,1
CCOc1ccc(NC(=O)c2ccccc2OC)cc1,1,1
COc1ccc(-c2cc(C(=O)N3CCN(c4ccccn4)CC3)c3ccccc3n2)cc1,1,1
COc1ccccc1-n1cc(C(=O)NCC(=O)N2CCN(c3ccccc3)CC2)c2ccccc2c1=O,1,1
O=C(O)c1cc(-c2ccc3cc4c(cc3c2)OCO4)nc2ccccc12,1,1
N/C(=N\O)c1cn([C@@H]2O[C@@H](CO)[C@H](O)[C@@H]2O)c2ncnc(NO)c12,1,1
C/C(=N/Nc1ccc2ccccc2n1)c1ccccc1O,1,1
O=[N+]([O-])c1cccc(/C=N\Nc2ccc3ccccc3n2)c1O,1,1
COCCn1c(C)cc(C(=O)CSc2nnc(C)s2)c1C,1,1
